relative time stamp,Walking,Standing,Sitting,Going Upstairs,Going Downstairs,Going In Lift,annotation any activity,yaw,pitch,roll,acc_x,acc_y,acc_z,pressure[pa],altitude[m],temperature[c],sensor Back,stretch left,stretch right,switch left,switch right
2762209,0,0,0,0,0,0,0,-60.27,67.59,21.81,-2.01,4.83,26.1,101023,-8.61,24.5,2,0,58,0,0
2762273,0,0,0,0,0,0,0,-59.54,66.85,22.49,2.03,1.94,24.05,101018,-8.86,24.5,3,0,35,0,0
2762321,0,0,0,0,0,0,0,-57.74,65.52,23.62,-2.06,-0.19,24.22,101030,-9.69,24.5,3,0,15,0,0
2762369,0,0,0,0,0,0,0,-56.63,64.1,24.99,-2.99,5.39,30.08,101023,-8.86,24.5,4,2,39,0,0
2762417,0,0,0,0,0,0,0,-56.37,62.64,26.63,3.49,10.43,25.04,101032,-8.69,24.5,6,0,33,0,0
2762465,0,0,0,0,0,0,0,-55.43,61.13,28.16,1.54,2.52,24.36,101026,-8.44,24.5,3,0,27,0,0
2762513,0,0,0,0,0,0,0,-53.74,59.73,29.44,-1.81,-0.73,21.22,101029,-8.61,24.5,2,0,22,0,0
2762577,0,0,0,0,0,0,0,-52.09,58.41,30.63,-0.99,0.23,21.28,101027,-8.94,24.5,0,0,17,0,0
2762625,0,0,0,0,0,0,0,-50.74,57.52,31.43,0.89,0.63,18.77,101021,-9.11,24.5,0,1,17,0,0
2762673,0,0,0,0,0,0,0,-49.97,57.1,31.76,3.84,0.01,13.87,101029,-8.61,24.5,0,0,52,0,0
2762721,0,0,0,0,0,0,0,-48.83,56.35,32.31,7.32,-1.24,17.6,101023,-8.94,24.5,2,0,108,0,0
2762769,0,0,0,0,0,0,0,-47.27,54.83,33.71,4.04,-1.19,20.33,101021,-8.61,24.6,0,0,95,0,0
2762817,0,0,0,0,0,0,0,-46.29,53.18,35.35,4.87,-2.16,20.65,101023,-8.94,24.6,0,0,91,0,0
2762865,0,0,0,0,0,0,0,-45.55,51.66,36.92,6.15,-0.2,12.84,101029,-8.86,24.6,0,0,85,0,0
2762913,0,0,0,0,0,0,0,-44.86,50.16,38.39,-4.43,2.56,9.78,101017,-8.44,24.6,0,1,74,0,0
2762977,0,0,0,0,0,0,0,-43.84,48.43,39.99,-21.46,-5.46,7.21,101021,-8.28,24.6,1,0,86,0,0
2763025,0,0,0,0,0,0,0,-43.61,46.95,41.7,-26.44,-1.1,19.64,101024,-8.35,24.6,0,0,76,0,0
2763082,0,0,0,0,0,0,0,-44.4,47.08,41.89,-20.01,7.46,23.49,101026,-8.94,24.6,0,0,64,0,0
2763122,0,0,0,0,0,0,0,-45.33,47.64,41.7,-14.43,3.25,19.04,101023,-8.86,24.6,0,0,52,0,0
2763172,0,0,0,0,0,0,0,-46.36,48.53,40.97,-6.78,0.03,13.34,101023,-8.28,24.6,1,0,48,0,0
2763217,0,0,0,0,0,0,0,-47.05,49.55,39.86,-4.6,1.69,10.47,101023,-9.11,24.6,0,0,59,0,0
2763265,0,0,0,0,0,0,0,-47.94,50.67,38.59,-7.22,4.23,5.39,101021,-8.35,24.6,0,1,45,0,0
2763313,0,0,0,0,0,0,0,-49.21,51.79,37.41,5.15,9.42,-2.23,101023,-8.86,24.6,0,2,41,0,0
2763377,0,0,0,0,0,0,0,-49.3,51.14,37.98,23.25,11.94,-7.15,101023,-8.44,24.6,0,0,40,0,0
2763425,0,0,0,0,0,0,0,-49.37,51.05,37.68,29.35,13.51,41.02,101029,-8.86,24.6,0,0,29,1,0
2763473,0,0,0,0,0,0,0,-48.9,50.97,37.24,6.59,-8.38,14.48,101021,-8.94,24.6,1,0,37,0,0
2763521,0,0,0,0,0,0,0,-48.09,50.19,37.89,2.64,-18.14,2.89,101023,-8.61,24.6,2,0,43,0,0
2763570,0,0,0,0,0,0,0,-47.66,49.33,39.06,8.77,-13.8,8.1,101021,-8.69,24.6,0,0,42,0,0
2763617,0,0,0,0,0,0,0,-48.15,49.35,39.41,10.7,-8.25,11.42,101019,-8.44,24.6,9,0,39,0,0
2763666,0,0,0,0,0,0,0,-48.97,49.81,39.04,9.59,-0.64,5.99,101030,-9.19,24.6,3,0,42,0,0
2763713,0,0,0,0,0,0,0,-49.51,50.09,38.54,8.27,5.26,5.32,101024,-8.35,24.6,8,0,45,0,0
2763778,0,0,0,0,0,0,0,-49.95,50.37,38.12,14.43,2.6,1.15,101023,-8.69,24.6,6,1,43,0,0
2763825,0,0,0,0,0,0,0,-50.18,50.39,38.22,13.73,-2.91,4.88,101024,-8.61,24.6,5,0,28,0,0
2763873,0,0,0,0,0,0,0,-50.02,50.04,38.62,9.85,-10.15,6.51,101024,-8.94,24.6,7,0,30,0,0
2763921,0,0,0,0,0,0,0,-49.75,49.47,39.28,10.88,-13.15,9.71,101029,-8.94,24.6,1,1,17,0,0
2763969,0,0,0,0,0,0,0,-49.4,48.81,40.08,9.23,-5.56,15.2,101032,-8.11,24.6,0,0,20,0,0
2764017,0,0,0,0,0,0,0,-49.51,48.76,40.49,7.22,-3.56,10.85,101026,-8.61,24.6,1,0,19,0,0
2764065,0,0,0,0,0,0,0,-49.68,48.79,40.7,4.67,-1.24,4.41,101019,-8.28,24.6,0,0,18,0,0
2764129,0,0,0,0,0,0,0,-50.18,49.12,40.46,6.42,5.11,0.99,101024,-8.52,24.6,0,4,19,0,0
2764177,0,0,0,0,0,0,0,-50.85,49.5,40.02,3.59,8.41,5.49,101030,-8.86,24.6,0,4,14,0,0
2764225,0,0,0,0,0,0,0,-51.56,49.89,39.44,-3.42,0,5.55,101019,-8.52,24.6,0,4,14,0,0
2764273,0,0,0,0,0,0,0,-52.22,50.03,38.97,-6.09,-6.77,7.8,101022,-8.28,24.6,60,0,15,0,0
2764321,0,0,0,0,0,0,0,-53.21,50.86,37.94,-0.04,2.08,10.78,101023,-8.69,24.6,70,2,17,0,0
2764369,0,0,0,0,0,0,0,-54.81,52.75,36.04,4.78,5.25,9.1,101020,-8.02,24.6,1,0,16,0,0
2764417,0,0,0,0,0,0,0,-55.93,53.88,34.79,-2.37,-4.37,3.68,101019,-8.35,24.6,99,2,21,0,0
2764465,0,0,0,0,0,0,0,-56.94,54.49,33.83,-0.66,-9.11,12.66,101024,-8.28,24.6,164,0,23,0,0
2764532,0,0,0,0,0,0,0,-57.37,54.56,33.56,-0.75,-5.04,10.6,101013,-8.69,24.6,161,1,27,0,0
2764577,0,0,0,0,0,0,0,-57.43,54.65,33.47,2.67,-6.19,9.77,101024,-8.69,24.6,204,2,24,0,0
2764625,0,0,0,0,0,0,0,-57.05,53.81,33.98,7.76,-6.9,4.24,101024,-9.36,24.6,227,0,39,0,0
