relative time stamp,Walking,Standing,Sitting,Going Upstairs,Going Downstairs,Going In Lift,annotation any activity,yaw,pitch,roll,acc_x,acc_y,acc_z,pressure[pa],altitude[m],temperature[c],sensor Back,stretch left,stretch right,switch left,switch right
2085,0,0,0,0,0,0,0,-40.88,52.77,35.74,1.72,-2.62,21.91,101131,-17.79,25.70,1,0,46,0,0
2149,0,0,0,0,0,0,0,-40.31,52.98,35.31,0.79,-1.74,22.43,101140,-18.04,25.70,1,2,63,0,0
2197,0,0,0,0,0,0,0,-39.43,53.31,34.63,0.07,-3.78,21.33,101137,-18.04,25.80,0,4,53,0,0
2244,0,0,0,0,0,0,0,-38.50,53.44,34.01,-1.58,-5.18,19.22,101139,-17.87,25.80,0,3,67,0,0
2292,0,0,0,0,0,0,0,-37.82,53.19,33.71,-1.03,-1.06,16.74,101141,-17.87,25.80,4,2,61,0,0
2341,0,0,0,0,0,0,0,-37.42,53.11,33.43,5.12,4.42,19.81,101143,-18.12,25.80,1,0,68,0,0
2405,0,0,0,0,0,0,0,-36.36,53.05,33.16,11.18,-3.42,18.08,101140,-18.37,25.80,3,0,72,0,0
2452,0,0,0,0,0,0,0,-35.47,52.43,33.51,5.60,-3.75,13.85,101144,-18.12,25.80,8,0,68,0,0
2500,0,0,0,0,0,0,0,-35.06,51.79,34.04,-0.81,-0.78,17.74,101139,-17.87,25.80,8,0,82,0,0
2548,0,0,0,0,0,0,0,-34.54,51.60,34.17,0.91,0.87,18.66,101144,-18.04,25.80,0,1,91,0,0
2596,0,0,0,0,0,0,0,-33.69,51.75,33.87,5.20,-2.28,15.52,101136,-17.54,25.80,4,0,157,0,0
2644,0,0,0,0,0,0,0,-33.09,51.93,33.71,6.15,-3.94,13.71,101125,-17.54,25.80,8,0,155,0,0
2692,0,0,0,0,0,0,0,-32.88,51.80,33.94,3.01,-1.00,14.31,101136,-17.79,25.80,3,1,182,0,0
2741,0,0,0,0,0,0,0,-31.85,51.47,34.21,1.40,0.69,14.40,101142,-17.87,25.80,4,2,74,0,0
2804,0,0,0,0,0,0,0,-30.98,51.10,34.48,3.75,-0.71,12.33,101144,-18.37,25.80,3,2,95,0,0
2853,0,0,0,0,0,0,0,-30.80,50.95,34.62,4.41,-2.65,12.69,101144,-18.29,25.80,5,0,57,0,0
2900,0,0,0,0,0,0,0,-30.62,50.83,34.73,5.09,-3.00,11.99,101146,-18.04,25.80,8,2,47,0,0
2948,0,0,0,0,0,0,0,-30.58,50.75,34.78,5.20,-3.16,12.98,101136,-18.29,25.80,4,0,36,0,0
2996,0,0,0,0,0,0,0,-30.62,50.68,34.83,6.71,-4.85,12.52,101131,-17.37,25.80,4,4,61,0,0
3044,0,0,0,0,0,0,0,-31.00,50.52,34.92,3.56,-5.85,10.75,101142,-17.79,25.80,8,0,36,0,0
