relative time stamp,Walking,Standing,Sitting,Going Upstairs,Going Downstairs,Going In Lift,annotation any activity,flic annotations,yaw,pitch,roll,acc_x,acc_y,acc_z,pressure[pa],altitude[m],temperature[c],sensor Back,stretch left,stretch right,switch left,switch right
2078,0,0,0,0,0,0,0,6,0.25,-1.48,2.05,1.00,-2.00,19.41,100728,15.90,22.50,101,0,35,0,1
2139,0,0,0,0,0,0,0,6,0.35,-1.43,2.12,0.66,-2.29,18.92,100728,15.56,22.50,100,0,34,0,1
2187,0,0,0,0,0,0,0,6,0.47,-1.44,2.20,0.96,-2.63,19.10,100724,15.81,22.50,111,0,28,0,1
2245,0,0,0,0,0,0,0,6,0.60,-1.45,2.31,1.03,-2.73,19.09,100733,15.81,22.50,107,0,27,0,1
2303,0,0,0,0,0,0,0,6,0.72,-1.50,2.40,1.25,-2.86,19.15,100728,15.90,22.50,105,0,27,0,1
2336,0,0,0,0,0,0,0,6,0.83,-1.51,2.48,1.29,-3.14,19.27,100728,16.06,22.50,97,0,22,0,1
2379,0,0,0,0,0,0,0,6,0.95,-1.50,2.55,1.31,-3.25,19.25,100739,15.14,22.50,100,0,38,0,1
2460,0,0,0,0,0,0,0,6,1.07,-1.52,2.63,1.57,-3.51,19.41,100736,15.81,22.50,99,0,37,0,1
2523,0,0,0,0,0,0,0,6,1.20,-1.51,2.71,1.48,-3.70,19.17,100740,15.31,22.50,98,0,40,0,1
2575,0,0,0,0,0,0,0,6,1.35,-1.55,2.83,1.54,-3.94,18.92,100727,16.15,22.50,99,0,41,0,1
2615,0,0,0,0,0,0,0,6,1.53,-1.66,3.03,1.70,-4.29,19.19,100723,16.23,22.50,102,0,45,0,1
2680,0,0,0,0,0,0,0,6,1.71,-1.72,3.26,2.00,-3.80,20.55,100728,16.48,22.50,98,0,40,0,1
2684,0,0,0,0,0,0,0,6,1.83,-1.62,3.28,1.89,-4.31,18.70,100724,16.48,22.50,108,0,35,0,1
2735,0,0,0,0,0,0,0,6,1.96,-1.69,3.38,2.00,-4.29,19.37,100728,16.40,22.60,110,0,34,0,1
2796,0,0,0,0,0,0,0,6,2.09,-1.74,3.46,2.06,-4.49,19.31,100727,16.15,22.50,96,0,34,0,1
2844,0,0,0,0,0,0,0,6,2.21,-1.79,3.54,2.18,-4.64,19.44,100726,15.90,22.50,88,0,32,0,1
2935,0,0,0,0,0,0,0,6,2.34,-1.83,3.62,2.17,-4.74,19.43,100727,15.56,22.50,85,0,34,0,1
2941,0,0,0,0,0,0,0,6,2.47,-1.87,3.69,2.23,-4.80,19.48,100734,16.06,22.50,87,0,30,0,1
3030,0,0,0,0,0,0,0,6,2.60,-1.92,3.76,2.37,-4.95,19.38,100728,16.40,22.50,82,0,25,0,1
3078,0,0,0,0,0,0,0,6,2.72,-1.96,3.82,2.33,-4.97,19.49,100721,16.65,21.60,79,0,22,0,1
3120,0,0,0,0,0,0,0,6,2.85,-2.00,3.89,2.43,-5.04,19.34,100444,40.03,22.60,85,0,24,0,1
3135,0,0,0,0,0,0,0,6,2.98,-2.04,3.95,2.47,-5.16,19.48,100724,16.65,22.60,88,0,25,0,1
3217,0,0,0,0,0,0,0,6,3.11,-2.07,4.00,2.50,-5.30,19.44,100733,15.98,22.60,91,0,30,0,1
3267,0,0,0,0,0,0,0,6,3.24,-2.11,4.06,2.59,-5.36,19.41,100730,15.56,22.60,90,0,35,0,1
3312,0,0,0,0,0,0,0,6,3.37,-2.14,4.10,2.59,-5.39,19.41,100729,16.40,22.50,82,0,38,0,1
