"relative.time.stamp,""annotation.inductive.proximity.sensor"",""annotation.analog.pressure.lower.back"",""annotation.bending.sensor.left"",""annotation.bending.sensor.right"",""annotation.digital.pressure.left.shoulder"",""annotation.digital.pressure.right.shoulder"",""annotation.any.activity"",""inductive.proximity.sensor"",""analog.pressure.lower.back"",""bending.sensor.left"",""bending.sensor.right"",""digital.pressure.left.shoulder"",""digital.pressure.right.shoulder"""
1593,0,0,0,0,0,0,0,0,1,0,0,0,0
1594,0,0,0,0,0,0,0,3,0,0,0,0,0
1732,0,0,0,0,0,0,0,5,0,0,0,0,0
1941,0,0,0,0,0,0,0,3,1,0,0,0,0
2132,0,0,0,0,0,0,0,4,0,0,0,0,0
2324,0,0,0,0,0,0,0,0,1,0,0,0,0
2516,0,0,0,0,0,0,0,0,1,0,0,0,0
2724,0,0,0,0,0,0,0,3,1,0,0,0,0
2916,0,0,0,0,0,0,0,2,6,0,0,0,0
3109,0,0,0,0,0,0,0,6,1,0,0,0,0
3300,0,0,0,0,0,0,0,1,1,0,0,0,0
3537,0,0,0,0,0,0,0,3,1,0,0,0,0
4126,0,0,0,0,0,0,0,3,0,0,0,0,0
4126,0,0,0,0,0,0,0,2,1,0,0,0,0
4126,0,0,0,0,0,0,0,0,0,0,0,0,0
4292,0,0,0,0,0,0,0,0,1,0,0,0,0
4494,0,0,0,0,0,0,0,0,0,0,0,0,0
4676,0,0,0,0,0,0,0,0,0,0,0,0,0
4928,0,0,0,0,0,0,0,0,0,0,0,0,0
5070,0,0,0,0,0,0,0,0,0,0,0,0,0
5267,0,0,0,0,0,0,0,0,0,797,0,0,0
5461,0,0,0,0,0,0,0,0,0,748,0,0,0
5652,0,0,0,0,0,0,0,0,0,0,0,0,0
5844,0,0,0,0,0,0,0,0,0,731,0,0,0
6052,0,0,0,0,0,0,0,0,0,729,0,0,0
6243,0,0,0,0,0,0,0,0,0,227,0,0,0
6436,0,0,0,0,0,0,0,0,0,0,0,0,0
6627,0,0,0,0,0,0,0,0,0,795,0,0,0
6820,0,0,0,0,0,0,0,0,0,755,0,0,0
7027,0,0,0,0,0,0,0,0,0,830,0,0,0
7219,0,0,0,0,0,0,0,0,0,835,0,0,0
7411,0,0,0,0,0,0,0,0,0,844,0,0,0
7602,0,0,0,0,0,0,0,0,0,843,0,0,0
7794,0,0,0,0,0,0,0,0,0,837,0,0,0
8003,0,0,0,0,0,0,0,0,0,840,0,0,0
8345,0,0,0,0,0,0,0,0,0,848,0,0,0
8427,0,0,0,0,0,0,0,0,0,848,0,0,0
8578,0,0,0,0,0,0,0,0,0,850,0,0,0
8787,0,0,0,0,0,0,0,0,0,850,0,0,0
9171,0,0,0,0,0,0,0,0,0,851,0,0,0
9173,0,0,0,0,0,0,0,0,0,853,0,0,0
9362,0,0,0,0,0,0,0,0,0,850,0,0,0
9554,0,0,0,0,0,0,0,0,0,848,0,0,0
9762,0,0,0,0,0,0,0,0,0,851,0,0,0
9954,0,0,0,0,0,0,0,0,0,854,0,0,0
10145,0,0,0,0,0,0,0,0,0,851,0,0,0
10344,0,0,0,0,0,0,0,0,0,849,0,0,0
10529,0,0,0,0,0,0,0,0,0,849,0,0,0
10737,0,0,0,0,0,0,0,0,0,852,0,0,0
10929,0,0,0,0,0,0,0,0,0,850,0,0,0
11122,0,0,0,0,0,0,0,0,0,852,0,0,0
11313,0,0,0,0,0,0,0,0,0,854,0,0,0
11521,0,0,0,0,0,0,0,0,0,856,0,0,0
11723,0,0,0,0,0,0,0,0,0,860,0,0,0
11905,0,0,0,0,0,0,0,0,0,856,0,0,0
12096,0,0,0,0,0,0,0,0,0,853,0,0,0
12289,0,0,0,0,0,0,0,0,0,854,0,0,0
12497,0,0,0,0,0,0,0,0,0,858,0,0,0
12689,0,0,0,0,0,0,0,0,0,855,0,0,0
12880,0,0,0,0,0,0,0,0,0,857,0,0,0
13072,0,0,0,0,0,0,0,0,0,855,0,0,0
13264,0,0,0,0,0,0,0,0,0,858,0,0,0
13472,0,0,0,0,0,0,0,0,0,858,0,0,0
13664,0,0,0,0,0,0,0,0,0,857,0,0,0
13857,0,0,0,0,0,0,0,0,0,856,0,0,0
14048,0,0,0,0,0,0,0,0,0,857,0,0,0
14286,0,0,0,0,0,0,0,0,0,861,0,0,0
14448,0,0,0,0,0,0,0,0,0,861,0,0,0
14654,0,0,0,0,0,0,0,0,0,857,0,0,0
14832,0,0,0,0,0,0,0,0,0,859,0,0,0
15023,0,0,0,0,0,0,0,0,0,858,0,0,0
15338,0,0,0,0,0,0,0,0,0,860,0,0,0
15434,0,0,0,0,0,0,0,0,0,860,0,0,0
15615,0,0,0,0,0,0,0,0,0,862,0,0,0
15807,0,0,0,0,0,0,0,0,0,862,0,0,0
16094,0,0,0,0,0,0,0,0,0,864,0,0,0
16218,0,0,0,0,0,0,0,0,0,863,0,0,0
